sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
57,HEDEF,Hedef,HEDEF PORTFÖY İNCİ HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),HIN,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,0.0,0,0.0,0
58,HEDEF,Hedef,HEDEF PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKP,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,142884579.97,66,5.736049,24909931
59,HEDEF,Hedef,HEDEF PORTFÖY KISA VADELİ SERBEST FON,KSA,Serbest Şemsiye Fonu,Para Piyasası / Kısa Vadeli Serbest,16444799323.2,4180,4.235966,3882184330
60,HEDEF,Hedef,HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HPF,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,813573542.64,12,18.854928,43149120
61,HEDEF,Hedef,HEDEF PORTFÖY MAVİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HMV,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,15464729987.59,13,17.430262,887234531
62,HEDEF,Hedef,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,318870200.67,1696,2.004464,159080038
63,HEDEF,Hedef,HEDEF PORTFÖY NEHİR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NFK,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1192021564.08,65,4.660216,255786761
64,HEDEF,Hedef,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,HYV,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),6191421886.29,6363,6.49879,952703812
65,HEDEF,Hedef,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,HPH,Katılım Şemsiye Fonu,Katılım (Para Piyasası) Fonu,6021721509.95,9058,2.434937,2473050396
66,HEDEF,Hedef,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,HKJ,Serbest Şemsiye Fonu,Para Piyasası / Kısa Vadeli Serbest,11420806705.43,2210,1.447563,7889676412
